startingAirport,destinationAirport,totalFare
JFK,PHL,334.46544539582396
JFK,SFO,472.1898844098414
LAX,ATL,458.89661393823155
LAX,BOS,506.02742692555734
LAX,CLT,505.61079753704865
LAX,DEN,284.1000883726315
LAX,DFW,307.33181984028636
LAX,DTW,488.86466319978774
LAX,EWR,473.5796921928925
LAX,IAD,535.036607923992
LAX,JFK,478.1655708960376
LAX,LGA,474.51311050027493
LAX,MIA,458.608729646123
LAX,OAK,366.5542124418333
LAX,ORD,429.81466826617583
LAX,PHL,522.3765975752383
LAX,SFO,209.39994932877073
LGA,ATL,204.73474728340864
LGA,BOS,153.60398556502037
LGA,CLT,206.62237101651547
LGA,DEN,286.09063748000085
LGA,DFW,231.58705092609287
LGA,DTW,212.89548965415585
LGA,IAD,397.7286936163954
LGA,LAX,439.5079579696356
LGA,MIA,202.96805601654452
LGA,OAK,746.4826483833344
LGA,ORD,188.799341178804
LGA,PHL,340.30040312245137
LGA,SFO,572.8357395256041
MIA,ATL,262.5194701767376
MIA,BOS,262.4204974835463
MIA,CLT,292.0179429725205
MIA,DEN,376.4459606253196
MIA,DFW,283.5285071312557
MIA,DTW,300.3237187753447
MIA,EWR,271.3784762902381
MIA,IAD,345.3273978309958
MIA,JFK,235.43573395023805
MIA,LAX,422.2146340057637
MIA,LGA,229.7973595398673
MIA,OAK,712.657274636125
MIA,ORD,277.93919472132944
MIA,PHL,303.20566152263376
MIA,SFO,547.9111054240319
OAK,ATL,583.1783392716229
OAK,BOS,671.4688161247973
OAK,CLT,698.9563934426229
OAK,DEN,401.83494959832166
OAK,DFW,448.2216202546364
OAK,DTW,610.4782591886741
OAK,EWR,594.9041085581327
OAK,IAD,665.3077688483845
OAK,JFK,581.0949149766367
OAK,LAX,368.2899409134462
OAK,LGA,727.3044158749889
OAK,MIA,695.8045205537445
OAK,ORD,493.2569272203115
OAK,PHL,644.6249541508316
OAK,SFO,417.8077677755683
ORD,ATL,240.5439758492835
ORD,BOS,239.96229707780543
ORD,CLT,243.48822708145477
ORD,DEN,355.42536767343427
ORD,DFW,297.3787634352186
ORD,DTW,220.25961485932805
ORD,EWR,248.97437063343236
ORD,IAD,324.4360491141629
ORD,JFK,421.25782934939457
ORD,LAX,405.81059521247073
ORD,LGA,192.60106978954073
ORD,MIA,245.44484305240746
ORD,OAK,517.9385051876895
ORD,PHL,290.67055186923454
ORD,SFO,503.50417131979697
PHL,ATL,258.8804419595314
PHL,BOS,237.68846093068873
PHL,CLT,277.7640933664275
PHL,DEN,426.17842572105496
PHL,DFW,347.8128319427579
PHL,DTW,307.4090740697809
PHL,EWR,399.14876567056075
PHL,IAD,379.10990533656104
PHL,JFK,318.3767620226308
PHL,LAX,483.38171912255604
PHL,LGA,323.13806350046303
PHL,MIA,273.3637625282028
PHL,OAK,689.0046375611295
PHL,ORD,282.0392264009429
PHL,SFO,600.4236412483692
SFO,ATL,547.2692526531705
SFO,BOS,554.8480988760554
SFO,CLT,618.4120819218153
SFO,DEN,394.34069292461857
SFO,DFW,413.06108382762505
SFO,DTW,636.047272768698
SFO,EWR,547.0809776086638
SFO,IAD,588.3789436908434
SFO,JFK,507.0804978599555
SFO,LAX,215.52093355143464
SFO,LGA,593.6242526964561
SFO,MIA,564.5508784493202
SFO,OAK,430.02319522157563
SFO,ORD,536.0325396934028
SFO,PHL,625.1870260275174
