startingAirport,destinationAirport,flight_day_of_week,w1
ATL,LGA,4,11.458080034881748
ATL,LGA,5,17.80372136599943
ATL,LGA,6,80.07029342403965
ATL,MIA,0,-11.256136190552956
ATL,MIA,1,-60.532059913064806
ATL,MIA,2,-41.02369333508336
ATL,MIA,3,31.324825681223484
ATL,MIA,4,37.96101894404769
ATL,MIA,5,1.3494441311713894
ATL,MIA,6,42.1766006830982
ATL,OAK,0,14.365090987366026
ATL,OAK,1,-60.9780257281317
ATL,OAK,2,-34.16671489779711
ATL,OAK,3,-6.106425128691697
ATL,OAK,4,15.641001130245538
ATL,OAK,5,-24.432784829063262
ATL,OAK,6,95.67785846752071
ATL,ORD,0,5.381493767741873
ATL,ORD,1,-54.379994751889036
ATL,ORD,2,-29.716663934673917
ATL,ORD,3,23.941335564780058
ATL,ORD,4,23.250085850987496
ATL,ORD,5,-15.363691552112435
ATL,ORD,6,46.887435056075304
ATL,PHL,0,8.271380552708605
ATL,PHL,1,-56.53362554245989
ATL,PHL,2,-44.33511464022427
ATL,PHL,3,0.056257485184271344
ATL,PHL,4,13.147189916604534
ATL,PHL,5,-9.113910773506232
ATL,PHL,6,88.5078230029104
ATL,SFO,0,6.969559459425543
ATL,SFO,1,-47.11960165725321
ATL,SFO,2,-35.80163175907605
ATL,SFO,3,-8.565580501511437
ATL,SFO,4,-19.983300694642622
ATL,SFO,5,-5.4827090693146125
ATL,SFO,6,109.98326422367356
BOS,ATL,0,-9.719211440914208
BOS,ATL,1,-35.151631541576286
BOS,ATL,2,-34.2418837328168
BOS,ATL,3,6.1479860693335375
BOS,ATL,4,19.41856021768872
BOS,ATL,5,18.372740750962365
BOS,ATL,6,35.17343967783641
BOS,CLT,0,-12.962910851154094
BOS,CLT,1,-57.768283115812835
BOS,CLT,2,-47.22914220224287
BOS,CLT,3,4.996996510671671
BOS,CLT,4,35.28556391905334
BOS,CLT,5,29.784944774061643
BOS,CLT,6,47.89283096608397
BOS,DEN,0,4.076726956112202
BOS,DEN,1,-35.25853879542941
BOS,DEN,2,-28.075260904824066
BOS,DEN,3,6.206215237762961
BOS,DEN,4,1.669684806157652
BOS,DEN,5,-2.4260729574955393
BOS,DEN,6,53.80724565841675
BOS,DFW,0,27.077427051678157
BOS,DFW,1,-37.06397600291047
BOS,DFW,2,-39.37807818122634
BOS,DFW,3,-14.854635753905427
BOS,DFW,4,-8.498905121253221
BOS,DFW,5,1.617339544272465
BOS,DFW,6,71.10082846408554
BOS,DTW,0,6.589462825734971
BOS,DTW,1,-46.02545534736341
BOS,DTW,2,-51.85459153375082
BOS,DTW,3,2.20183683662109
BOS,DTW,4,37.4838121976245
BOS,DTW,5,9.949552400212866
BOS,DTW,6,41.65538262159881
BOS,EWR,0,-37.807534914813296
BOS,EWR,1,-48.54139392010051
BOS,EWR,2,-21.662050426276902
BOS,EWR,3,-26.97934213094914
BOS,EWR,4,18.99148407205654
BOS,EWR,5,77.74959405519705
BOS,EWR,6,38.249243265553126
BOS,IAD,0,-0.43155060195774253
BOS,IAD,1,-56.90189703784421
BOS,IAD,2,-48.10013069012972
BOS,IAD,3,-11.504499774140273
BOS,IAD,4,25.090988893304928
BOS,IAD,5,24.923954254770265
BOS,IAD,6,66.92313495676163
BOS,JFK,0,-16.19563066718309
BOS,JFK,1,-22.658564858691264
BOS,JFK,2,-4.4664976696161025
BOS,JFK,3,-0.41967223692549743
BOS,JFK,4,13.654144043367694
BOS,JFK,5,12.143046469241288
BOS,JFK,6,17.943174920102578
BOS,LAX,0,9.517490655009375
BOS,LAX,1,-38.86336136718367
BOS,LAX,2,-31.50636158509947
BOS,LAX,3,-5.305952634185192
BOS,LAX,4,-16.689003963674462
BOS,LAX,5,4.0454319733290065
BOS,LAX,6,78.8017569226522
BOS,LGA,0,-29.877644239612664
BOS,LGA,1,-30.690660877312194
