startingAirport,destinationAirport,n1
ORD,CLT,0.2674331229335738
ORD,DEN,0.45170624387210945
ORD,DFW,0.3537153907268884
ORD,DTW,0.8253794825769696
ORD,EWR,0.5789508621118837
ORD,IAD,0.19687598280742216
ORD,JFK,0.22492000752870317
ORD,LAX,0.3361353105776529
ORD,LGA,0.7522757458939389
ORD,MIA,0.22322961741877875
ORD,OAK,0.01614595476801119
ORD,PHL,0.4463736619425242
ORD,SFO,0.349075416968818
PHL,ATL,0.37447181284138925
PHL,BOS,0.5835876198779425
PHL,CLT,0.2360001360035361
PHL,DEN,0.13678995907657968
PHL,DFW,0.16424458459007404
PHL,DTW,0.24798887214558943
PHL,EWR,0.08041899596976394
PHL,IAD,0.0
PHL,JFK,0.0
PHL,LAX,0.11516452074391989
PHL,LGA,0.0
PHL,MIA,0.22107961260417786
PHL,OAK,0.041331440290266606
PHL,ORD,0.41365048751741135
PHL,SFO,0.07639222687633043
SFO,ATL,0.15850649543684414
SFO,BOS,0.31715181022427097
SFO,CLT,0.06587083938269614
SFO,DEN,0.29995998677823976
SFO,DFW,0.3184301719922614
SFO,DTW,0.08431557202746218
SFO,EWR,0.3320210741987414
SFO,IAD,0.2030266840163277
SFO,JFK,0.7289162814586544
SFO,LAX,0.8446862846555724
SFO,LGA,0.0
SFO,MIA,0.06170413245389689
SFO,OAK,0.0
SFO,ORD,0.32948946071721874
SFO,PHL,0.07908158794145999
